hxwsj@gmshmas3o> eaw MSC50;
<!collect IOT_subscriber!
<!display MSC's MT MOBILE SUBSCRIBER!
<ioexp;
EXCHANGE IDENTITY DATA

IDENTITY
SHG50CN79B/KD/04/05/75

END


<mgsvp;
MT MOBILE SUBSCRIBER SURVEY

HLRADDR             NSUB       NSUBA      NSUBOCSI
4-8613910910002          57         50          6
4-491760003028            2          2          2
4-12404492578             2          2          0
4-8613467170002          14         14          8
4-861573370000          110        107         18
4-8615700340000          67         63         16
4-861387990000           82         75         29
4-8615034640005          13         12          8
4-861842053000           23         18         21
4-491700600140            1          1          0
4-316530860010           12          9          0
4-8613810410002          46         43          6
4-491760003020            3          0          2
4-852645021000127         6          3          6
4-8613909940000          34         30          2
4-861510991000           51         46          6
4-8613810310002          37         34          9
4-861473632000           45         43          1
4-8613444350141           9          6          4
4-447802000225            2          2          2
4-861872260000           61         58         12
4-861575060000           11          9          3
4-5294100005020           1          1          0
4-861390733000           72         68         24
4-886935420649           11         11         11
4-38050000301             5          2          5
4-8613444350442          11          9          6
4-8613999900000          86         78          5
4-919815053740            8          5          7
4-8615702810007          16         15          1
4-12085978982             1          1          0
4-14054729360             3          3          3
4-79043490348             1          1          1
4-66923011564            12          5         11
4-861523467000          105        101         38
4-852645021000103        98         60         98
4-8615109990000          26         24          1
4-8613905377474         123        117         41
4-393358817516            3          2          3
4-905590000235            1          1          1
4-8613782745000          96         92         16
4-919810051031            8          6          5
4-8615034520008           1          1          0
4-8615203400006          27         25         18
4-818093110000           28         19          0
4-861584334000           20         17          3
4-861847527000           16         15         15
4-543200124005            1          0          1
4-861390438007           16         13          8
4-8613999710000          19         17          1
4-3859812009              1          0          0
4-353876999260            5          4          0
4-8615903400002          26         24         14
4-8615702810009          11         11          2
4-861839439000           61         58         34
4-861508909000           46         44          2
4-8615059440379          19         15          7
4-351930000802           35         13          0
4-639180009002            8          8          3
4-905590000236            2          0          1
4-12404492592             2          1          0
4-256771100059            2          1          0
4-861350326000           48         44          6
4-6598541016             17         12          7
4-861847510000           28         27         28
4-861373288000           65         63         31
4-14054729245             3          2          3
4-861390745000           65         63         30
4-856205000005            2          0          0
4-14047259888             1          1          0
4-861881369000           14         11          8
4-97254120634            24          8         24
4-86184210427             3          3          0
4-821029191813           43         26         43
4-491760003010            2          1          2
4-861394770000           39         36         21
4-8190542116808           3          3          0
4-8615203400003          25         24         15
4-861880770000           71         66          5
4-358402001001            1          1          0
4-861500784000           19         19          2
4-8615034520006          14         12          9
4-8615203400004          12         12         10
4-8613444350243           8          7          6
4-639180009003            7          6          0
4-393358817413            1          0          1
4-8615059440568          25         20         12
4-861590437000           58         47         28
4-8613459140534          33         32         10
4-3725098025              2          1          0
4-8618840530000          52         44         17
4-491760003021            3          3          2
4-4367603034000           1          1          0
4-861840760000           35         34         31
4-861394899000           22         19         10
4-8618481380001           7          7          2
4-8613444350237          48         44         18
4-8615035320003           1          1          1
4-86184211729           101         97         11
4-8615859454282          21         19          9
4-491720096996            1          1          0
4-861390438005           25         25         10
4-861390438002           16         16          5
4-639180009010            4          4          0
4-447953700225            1          1          0
4-79940130021             7          4          7
4-14054729354             3          3          3
4-14054729223             1          1          1
4-79639741140             1          0          0
4-5294100021020           1          1          1
4-8615704190000          45         42         16
4-8618838579000          70         65         10
4-861390936000           26         19          9
4-97259106999             1          0          0
4-8618324030000           7          4          0
